Gene name,RPKM  Jeko 
FAM74A1,0
FAM74A2,0
FAM74A4,0
FAM75A2,0
FAM75A4,0
FAM75A5,0
FAM75A6,0
FAM75D3,0
FAM90A10P,0
FAM90A27P,0
FAM90A7P,0
FAM92A3,0
FAM99B,0
FAM9A,0
FDPSL2A,0
FERD3L,0
FGF10,0
FGF16,0
FGF3,0
FGF4,0
FGL1,0
FIGLA,0
FKBP1A-SDCBP2,0
FLJ13197,0
FLJ20518,0
FLJ25363,0
FLJ26245,0
FLJ31662,0
FLJ32063,0
FLJ32224,0
FLJ33065,0
FLJ42102,0
FLJ43315,0
FLJ46066,0
FMO9P,0
FMR1-AS1,0
FOLH1B,0
FOLR4,0
FOXB2,0
FOXD4L2,0
FOXH1,0
FRG2,0
FRRS1L,0
FSHB,0
FTHL17,0
FTLP10,0
FTMT,0
FXYD6-FXYD2,0
G6PC2,0
GABRA1,0
GABRP,0
GABRR3,0
GAGE1,0
GAGE12D,0
GAGE12F,0
GAGE13,0
GAGE2C,0
GAGE2D,0
GAGE2E,0
GAGE4,0
GAGE5,0
GAGE8,0
GALNTL5,0
GAPDHS,0
GBX2,0
GCG,0
GCKR,0
GCOM1,0
GDEP,0
GFRA4,0
GFRAL,0
GH2,0
GIF,0
GIP,0
GJA8,0
GJD2,0
GKN1,0
GLIS3-AS1,0
GLT6D1,0
GLYCAM1,0
GML,0
GMNC,0
GNG13,0
GNG3,0
GNRHR2,0
GOLGA6L6,0
GOLGA8DP,0
GOT1L1,0
GP2,0
GPCRLTM7,0
GPHB5,0
GPR113,0
GPR119,0
GPR139,0
GPR148,0
GPR6,0
GPR62,0
GPRC6A,0
GPRIN2,0
GRID2,0
GRIN3B,0
GRIP2,0
GRXCR1,0
GRXCR2,0
GSC2,0
GSTA3,0
GSTA5,0
GUCA1C,0
GUCA2A,0
GUCA2B,0
GUCY2E,0
GUSBP10,0
H1FOO,0
H2AFB1,0
H2BFWT,0
HCG25,0
HCRTR2,0
HEATR4,0
HEATR7B2,0
HEATR8-TTC4,0
HELT,0
HIGD1B,0
HIST1H2APS1,0
HIST1H2BA,0
HIST1H4G,0
HIST2H4A,0
HIST2H4B,0
HLA-DRB3,0
HLA-DRB4,0
HMGB3P1,0
HMX3,0
HNRNPKP3,0
HOXB1,0
HOXD13,0
HPVC1,0
HPYR1,0
HSD3B1,0
HSFX2,0
HSFY1,0
HSFY1P1,0
HSFY2,0
HSP90AA6P,0
HSPB2-C11orf52,0
HSPE1-MOB4,0
HTN1,0
HTN3,0
HTR1A,0
HTR1E,0
HYMAI,0
IFLTD1,0
IFNA1,0
IFNA13,0
IFNA16,0
IFNA17,0
IFNA5,0
IFNA7,0
IFNA8,0
IFNE,0
IGFL1,0
IGFL3,0
IGSF11-AS1,0
IGSF23,0
IGSF5,0
IL1F10,0
IL22,0
IL24,0
IL36A,0
IL36B,0
IL36RN,0
IL9,0
INE2,0
INMT-FAM188B,0
INS-IGF2,0
IQCF2,0
IQCF3,0
IQCF4,0
IRX4,0
IZUMO2,0
JAZF1-AS1,0
KBTBD5,0
KCNA10,0
KCNIP1,0
KCNIP4-IT1,0
KCNJ13,0
KCNK18,0
KCNV1,0
KCTD14,0
KCTD8,0
KDELR3,0
KERA,0
KIAA1656,0
KIF2B,0
KIR2DL2,0
KIR2DL5A,0
KIR2DL5B,0
KIR2DS1,0
KIR2DS2,0
KIR2DS3,0
KIR2DS5,0
KIR3DS1,0
KLK12,0
KLK7,0
KLK9,0
KRT24,0
KRT25,0
KRT26,0
KRT28,0
KRT33A,0
KRT33B,0
KRT34,0
KRT38,0
KRT39,0
KRT40,0
KRT76,0
KRT83,0
KRT8P41,0
KRT9,0
KRTAP10-12,0
KRTAP10-3,0
KRTAP10-4,0
KRTAP10-7,0
KRTAP10-8,0
KRTAP10-9,0
KRTAP1-1,0
KRTAP12-1,0
KRTAP12-2,0
KRTAP12-4,0
KRTAP1-3,0
KRTAP13-1,0
KRTAP13-2,0
KRTAP13-3,0
KRTAP15-1,0
KRTAP19-2,0
KRTAP19-3,0
KRTAP19-4,0
KRTAP19-5,0
KRTAP19-6,0
KRTAP19-7,0
KRTAP19-8,0
KRTAP20-1,0
KRTAP20-2,0
KRTAP20-3,0
KRTAP20-4,0
KRTAP2-1,0
KRTAP21-1,0
KRTAP21-2,0
KRTAP21-3,0
KRTAP2-2,0
KRTAP22-1,0
KRTAP22-2,0
KRTAP23-1,0
KRTAP2-4,0
KRTAP24-1,0
KRTAP25-1,0
KRTAP26-1,0
KRTAP27-1,0
KRTAP3-1,0
KRTAP3-2,0
KRTAP3-3,0
KRTAP4-11,0
KRTAP4-12,0
KRTAP4-2,0
KRTAP4-3,0
KRTAP4-5,0
KRTAP4-6,0
KRTAP4-7,0
KRTAP4-8,0
KRTAP4-9,0
KRTAP5-6,0
KRTAP6-1,0
KRTAP6-2,0
KRTAP6-3,0
KRTAP7-1,0
KRTAP8-1,0
KRTAP9-2,0
KRTAP9-4,0
KRTAP9-8,0
KRTAP9-9,0
LACRT,0
LALBA,0
LBX2,0
LCE1A,0
LCE1D,0
LCE2A,0
LCE2B,0
LCE2C,0
LCE2D,0
LCE3A,0
LCE3C,0
LCE3D,0
LCE3E,0
LCE4A,0
LCN9,0
LCTL,0
LELP1,0
LGALS13,0
LGALS16,0
LGALS7,0
LGALS8-AS1,0
LGI1,0
LHX5,0
LHX8,0
LHX9,0
LINC00028,0
LINC00112,0
LINC00113,0
LINC00159,0
LINC00160,0
LINC00207,0
LINC00208,0
LINC00221,0
LINC00226,0
LINC00230A,0
LINC00230B,0
LINC00238,0
LINC00254,0
LINC00272,0
LINC00273,0
LINC00281,0
LINC00284,0
LINC00290,0
LINC00301,0
LINC00307,0
LINC00308,0
LINC00314,0
LINC00317,0
LINC00320,0
LINC00326,0
LINC00343,0
LINC00466,0
LINC00475,0
LINC00479,0
LINC00507,0
LINC00547,0
LINC00548,0
LINC00577,0
LIPK,0
LIPM,0
LMX1A,0
LOC100093698,0
LOC100127888,0
LOC100128023,0
LOC100128054,0
LOC100128176,0
LOC100128511,0
LOC100128714,0
LOC100128788,0
LOC100129083,0
LOC100129148,0
LOC100129175,0
LOC100129345,0
LOC100129407,0
LOC100129515,0
LOC100129518,0
LOC100129520,0
LOC100129845,0
LOC100130197,0
LOC100130264,0
LOC100130348,0
LOC100130452,0
LOC100130480,0
LOC100130700,0
LOC100130849,0
LOC100130855,0
LOC100130880,0
LOC100130964,0
LOC100131626,0
LOC100131635,0
LOC100132146,0
LOC100132163,0
LOC100132215,0
LOC100132396,0
LOC100132774,0
LOC100133123,0
LOC100133267,0
LOC100133308,0
LOC100133957,0
LOC100134015,0
LOC100169752,0
LOC100189589,0
LOC100190986,0
LOC100192426,0
LOC100233156,0
LOC100270679,0
LOC100286922,0
LOC100286938,0
LOC100287010,0
LOC100287144,0
LOC100287178,0
LOC100287205,0
LOC100287238,0
LOC100287327,0
LOC100287404,0
LOC100287718,0
LOC100287834,0
LOC100287879,0
LOC100287944,0
LOC100288255,0
LOC100288520,0
LOC100288524,0
LOC100289255,0
LOC100289511,0
LOC100289650,0
LOC100294362,0
LOC100302401,0
LOC100500938,0
LOC100505540,0
LOC100505624,0
LOC100505681,0
LOC100505795,0
LOC100505817,0
LOC100505841,0
LOC100505933,0
LOC100505964,0
LOC100506046,0
LOC100506050,0
LOC100506083,0
LOC100506122,0
LOC100506172,0
LOC100506321,0
LOC100506384,0
LOC100506393,0
LOC100506422,0
LOC100506472,0
LOC100506540,0
LOC100506650,0
LOC100506660,0
LOC100506888,0
LOC100506963,0
LOC100506994,0
LOC100507034,0
LOC100507086,0
LOC100507096,0
LOC100507205,0
LOC100507334,0
LOC100507346,0
LOC100507377,0
LOC100507412,0
LOC100507423,0
LOC100507443,0
LOC100507472,0
LOC100507537,0
LOC100507547,0
LOC100507564,0
LOC100507629,0
LOC100507651,0
LOC100652768,0
LOC100652770,0
LOC100652909,0
LOC145663,0
LOC146336,0
LOC146481,0
LOC149373,0
LOC150185,0
LOC150527,0
LOC151009,0
LOC152578,0
LOC154449,0
LOC154860,0
LOC157273,0
LOC157627,0
LOC158434,0
LOC158696,0
LOC200726,0
LOC253044,0
LOC254312,0
LOC255025,0
LOC255130,0
LOC256021,0
LOC283033,0
LOC283089,0
LOC283403,0
LOC283788,0
LOC284294,0
LOC284379,0
LOC284395,0
LOC284933,0
LOC284998,0
LOC285033,0
LOC285103,0
LOC285326,0
LOC285501,0
LOC285577,0
LOC285768,0
LOC285796,0
LOC285847,0
LOC285878,0
LOC286083,0
LOC286114,0
LOC286135,0
LOC286186,0
LOC286189,0
LOC286238,0
LOC338579,0
LOC338588,0
LOC339240,0
LOC339298,0
LOC339568,0
LOC339593,0
LOC339926,0
LOC340017,0
LOC340544,0
LOC344967,0
LOC347411,0
LOC349160,0
LOC388276,0
LOC388946,0
LOC389033,0
LOC389043,0
LOC389458,0
LOC389831,0
LOC389834,0
LOC390705,0
LOC399829,0
LOC400550,0
LOC400620,0
LOC400794,0
LOC401093,0
LOC401134,0
LOC401177,0
LOC401557,0
LOC402779,0
LOC415056,0
LOC439950,0
LOC440117,0
LOC440131,0
LOC440910,0
LOC441009,0
LOC494127,0
LOC503519,0
LOC554201,0
LOC572558,0
LOC606724,0
LOC641364,0
LOC641365,0
LOC641518,0
LOC642426,0
LOC643037,0
LOC643441,0
LOC643486,0
LOC643648,0
LOC643714,0
LOC643923,0
LOC644248,0
LOC646268,0
LOC646498,0
LOC646626,0
LOC646736,0
LOC646743,0
LOC646813,0
LOC646938,0
LOC647107,0
LOC650226,0
LOC650293,0
LOC727677,0
LOC727915,0
LOC727924,0
LOC728012,0
LOC728342,0
LOC728373,0
LOC728379,0
LOC728393,0
LOC728419,0
LOC728716,0
LOC729121,0
LOC729156,0
LOC729178,0
LOC729444,0
LOC729987,0
LOC730159,0
LOC730755,0
LOC730811,0
LOC731779,0
LOC732275,0
LOC84931,0
LOC84989,0
LOC91149,0
LOC93432,0
LRIT1,0
LRRC30,0
LRRC37A5P,0
LRRC52,0
LRTOMT,0
LURAP1,0
LY6H,0
LYPD4,0
LYZL1,0
LYZL2,0
LYZL4,0
LYZL6,0
MAFIP,0
MAGEA10-MAGEA5,0
MAGEA2,0
MAGEA5,0
MAS1L,0
MBD3L1,0
MBD3L2,0
MBD3L3,0
MBD3L4,0
MBD3L5,0
MCCD1,0
MCHR2,0
MCM3AP-AS1,0
MEG8,0
MGC27382,0
MGC2889,0
MGC39584,0
MGC4473,0
MGC70870,0
MIA,0
MIA-RAB4B,0
MIMT1,0
MIR100,0
MIR101-1,0
MIR101-2,0
MIR103A1,0
MIR103A2,0
MIR103B1,0
MIR103B2,0
MIR105-1,0
MIR105-2,0
MIR106A,0
MIR106B,0
MIR107,0
MIR10A,0
MIR10B,0
MIR1-1,0
MIR1178,0
MIR1179,0
MIR1180,0
MIR1184-1,0
MIR1184-2,0
MIR1184-3,0
MIR1185-1,0
MIR1185-2,0
MIR1193,0
MIR1197,0
MIR1-2,0
MIR1200,0
MIR1203,0
MIR1204,0
MIR1205,0
MIR1206,0
MIR1207,0
MIR1208,0
MIR122,0
MIR1224,0
MIR1225,0
MIR1226,0
MIR1227,0
MIR1228,0
MIR1229,0
MIR1231,0
MIR1233-1,0
MIR1234,0
MIR1236,0
MIR1237,0
MIR1238,0
MIR124-1,0
MIR124-2,0
MIR1243,0
MIR124-3,0
MIR1244-3,0
MIR1245A,0
MIR1245B,0
MIR1246,0
MIR1247,0
MIR1249,0
MIR1250,0
MIR1251,0
MIR1252,0
MIR1253,0
MIR1256,0
MIR1257,0
MIR1258,0
MIR125A,0
MIR125B1,0
MIR125B2,0
MIR126,0
MIR1260A,0
MIR1260B,0
MIR1262,0
MIR1264,0
MIR1265,0
MIR1266,0
MIR127,0
MIR1270-2,0
MIR1272,0
MIR1275,0
MIR1276,0
MIR1277,0
MIR1278,0
MIR1279,0
MIR1280,0
MIR1281,0
MIR128-1,0
MIR1282,0
MIR128-2,0
MIR1283-1,0
MIR1283-2,0
MIR1284,0
MIR1286,0
MIR1287,0
MIR1288,0
MIR1289-2,0
MIR1291,0
MIR129-1,0
MIR1292,0
MIR129-2,0
MIR1293,0
MIR1295A,0
MIR1296,0
MIR1297,0
MIR1298,0
MIR1301,0
MIR1304,0
MIR1305,0
MIR130A,0
MIR130B,0
MIR132,0
MIR1322,0
MIR1323,0
MIR1324,0
MIR133A1,0
MIR133A2,0
MIR133B,0
MIR134,0
MIR1343,0
MIR135A1,0
MIR135A2,0
MIR135B,0
MIR136,0
MIR138-1,0
MIR138-2,0
MIR139,0
MIR140,0
MIR141,0
MIR144,0
MIR1468,0
MIR1469,0
MIR146A,0
MIR146B,0
MIR1470,0
MIR1471,0
MIR147A,0
MIR148A,0
MIR148B,0
MIR149,0
MIR150,0
MIR152,0
MIR153-1,0
MIR153-2,0
MIR1537,0
MIR1538,0
MIR1539,0
MIR154,0
MIR15A,0
MIR15B,0
MIR16-1,0
MIR16-2,0
MIR181A1,0
MIR181A2,0
MIR181B1,0
MIR181B2,0
MIR181C,0
MIR181D,0
MIR182,0
MIR1827,0
MIR183,0
MIR184,0
MIR185,0
MIR186,0
MIR187,0
MIR188,0
MIR18B,0
MIR1909,0
MIR190A,0
MIR190B,0
MIR191,0
MIR1910,0
MIR1911,0
MIR1912,0
MIR1913,0
MIR1914,0
MIR1915,0
MIR192,0
MIR193A,0
MIR193B,0
MIR194-1,0
MIR194-2,0
MIR195,0
MIR196A1,0
MIR196A2,0
MIR196B,0
MIR197,0
MIR1972-1,0
MIR1973,0
MIR1976,0
MIR199A1,0
MIR199B,0
MIR19B2,0
MIR200A,0
MIR200B,0
MIR200C,0
MIR202,0
MIR203,0
MIR204,0
MIR205,0
MIR2052,0
MIR2053,0
MIR2054,0
MIR206,0
MIR208A,0
MIR208B,0
MIR20B,0
MIR21,0
MIR211,0
MIR2113,0
MIR2114,0
MIR2116,0
MIR2117,0
MIR212,0
MIR215,0
MIR216A,0
MIR216B,0
MIR217,0
MIR218-1,0
MIR218-2,0
MIR219-1,0
MIR219-2,0
MIR221,0
MIR2276,0
MIR2278,0
MIR2355,0
MIR2392,0
MIR23A,0
MIR23B,0
MIR23C,0
MIR24-1,0
MIR24-2,0
MIR2467,0
MIR25,0
MIR2681,0
MIR2682,0
MIR26A1,0
MIR26A2,0
MIR26B,0
MIR27A,0
MIR27B,0
MIR2861,0
MIR2909,0
MIR296,0
MIR2964A,0
MIR298,0
MIR299,0
MIR29A,0
MIR29B1,0
MIR29B2,0
MIR29C,0
MIR300,0
MIR301A,0
MIR301B,0
MIR302A,0
MIR302B,0
MIR302C,0
MIR302D,0
MIR302F,0
MIR3064,0
MIR3065,0
MIR3074,0
MIR30A,0
MIR30B,0
MIR30C1,0
MIR30C2,0
MIR30D,0
MIR30E,0
MIR31,0
MIR3115,0
MIR3117,0
MIR3119-1,0
MIR3120,0
MIR3121,0
MIR3122,0
MIR3123,0
MIR3124,0
MIR3125,0
MIR3126,0
MIR3127,0
MIR3128,0
MIR3129,0
MIR3130-2,0
MIR3131,0
MIR3132,0
MIR3134,0
MIR3136,0
MIR3138,0
MIR3140,0
MIR3141,0
MIR3142,0
MIR3143,0
MIR3145,0
MIR3146,0
MIR3147,0
MIR3148,0
MIR3150A,0
MIR3150B,0
MIR3151,0
MIR3152,0
MIR3153,0
MIR3154,0
MIR3155A,0
MIR3155B,0
MIR3156-1,0
MIR3156-2,0
MIR3156-3,0
MIR3157,0
MIR3158-2,0
MIR3160-1,0
MIR3160-2,0
MIR3162,0
MIR3165,0
MIR3167,0
MIR3169,0
MIR3170,0
MIR3173,0
MIR3175,0
MIR3177,0
MIR3178,0
MIR3179-1,0
MIR3179-2,0
MIR3179-3,0
MIR3180-1,0
MIR3180-3,0
MIR3180-4,0
MIR3180-5,0
MIR3182,0
MIR3183,0
MIR3184,0
MIR3185,0
MIR3186,0
MIR3187,0
MIR3188,0
MIR3189,0
MIR3190,0
MIR3192,0
MIR3193,0
MIR3194,0
MIR3196,0
MIR3197,0
MIR3198-1,0
MIR3199-1,0
MIR3199-2,0
MIR32,0
MIR3200,0
MIR3201,0
MIR3202-1,0
MIR3202-2,0
MIR320A,0
MIR320B1,0
MIR320B2,0
MIR320C1,0
MIR320C2,0
MIR320D1,0
MIR320D2,0
MIR320E,0
MIR323A,0
MIR323B,0
MIR324,0
MIR326,0
MIR328,0
MIR329-1,0
MIR329-2,0
MIR330,0
MIR331,0
MIR335,0
MIR337,0
MIR338,0
MIR33A,0
MIR340,0
MIR345,0
MIR346,0
MIR34A,0
MIR34B,0
MIR34C,0
MIR3529,0
MIR3545,0
MIR3591,0
MIR3605,0
MIR3606,0
MIR3607,0
MIR3609,0
MIR3612,0
MIR3613,0
MIR3615,0
MIR3616,0
MIR3619,0
MIR362,0
MIR3620,0
MIR3621,0
MIR3622A,0
MIR3622B,0
MIR363,0
MIR3646,0
MIR3649,0
MIR3650,0
MIR3651,0
MIR3656,0
MIR3659,0
MIR365A,0
MIR365B,0
MIR3660,0
MIR3661,0
MIR3662,0
MIR3663,0
MIR3664,0
MIR3665,0
MIR3666,0
MIR3668,0
MIR367,0
MIR3671,0
MIR3675,0
MIR3676,0
MIR3677,0
MIR3678,0
MIR3679,0
MIR3680-1,0
MIR3682,0
MIR3684,0
MIR3685,0
MIR3688-1,0
MIR3688-2,0
MIR3689A,0
MIR3689B,0
MIR3689C,0
MIR3689D1,0
MIR3689D2,0
MIR3689E,0
MIR3689F,0
MIR369,0
MIR3690,0
MIR3691,0
MIR3692,0
MIR371A,0
MIR371B,0
MIR372,0
MIR373,0
MIR374A,0
MIR374B,0
MIR374C,0
MIR375,0
MIR376A1,0
MIR376A2,0
MIR376B,0
MIR376C,0
MIR377,0
MIR378C,0
MIR378D1,0
MIR378D2,0
MIR378E,0
MIR378F,0
MIR379,0
MIR380,0
MIR381,0
MIR382,0
MIR383,0
MIR384,0
MIR3907,0
MIR3908,0
MIR3909,0
MIR3910-1,0
MIR3910-2,0
MIR3911,0
MIR3912,0
MIR3913-1,0
MIR3913-2,0
MIR3914-1,0
MIR3914-2,0
MIR3916,0
MIR3917,0
MIR3918,0
MIR3919,0
MIR3920,0
MIR3921,0
MIR3922,0
MIR3924,0
MIR3925,0
MIR3926-1,0
MIR3926-2,0
MIR3928,0
MIR3935,0
MIR3936,0
MIR3938,0
MIR3940,0
MIR3941,0
MIR3942,0
MIR3943,0
MIR3944,0
MIR3945,0
MIR3960,0
MIR3973,0
MIR3974,0
MIR3975,0
MIR3976,0
MIR3977,0
MIR3978,0
MIR409,0
MIR410,0
MIR411,0
MIR412,0
MIR421,0
MIR423,0
MIR424,0
MIR425,0
MIR4251,0
MIR4252,0
MIR4253,0
MIR4254,0
MIR4255,0
MIR4256,0
MIR4257,0
MIR4258,0
MIR4260,0
MIR4261,0
MIR4262,0
MIR4263,0
MIR4264,0
MIR4265,0
MIR4266,0
MIR4267,0
MIR4268,0
MIR4269,0
MIR4270,0
MIR4271,0
MIR4272,0
MIR4273,0
MIR4274,0
MIR4275,0
MIR4276,0
MIR4277,0
MIR4278,0
MIR4279,0
MIR4280,0
MIR4281,0
MIR4282,0
MIR4283-1,0
MIR4283-2,0
MIR4284,0
MIR4285,0
MIR4287,0
MIR4288,0
MIR4289,0
MIR429,0
MIR4290,0
MIR4291,0
MIR4292,0
MIR4294,0
MIR4295,0
MIR4296,0
MIR4297,0
MIR4298,0
MIR4299,0
MIR4300,0
MIR4301,0
MIR4302,0
MIR4303,0
MIR4304,0
MIR4305,0
MIR4306,0
MIR4307,0
MIR4308,0
MIR4309,0
MIR431,0
MIR4310,0
MIR4311,0
MIR4312,0
MIR4314,0
MIR4315-1,0
MIR4316,0
MIR4317,0
MIR4318,0
MIR4319,0
MIR432,0
MIR4320,0
MIR4321,0
MIR4322,0
MIR4323,0
MIR4324,0
MIR4325,0
MIR4326,0
MIR4327,0
MIR4328,0
MIR4329,0
MIR433,0
MIR4330,0
MIR4417,0
MIR4420,0
MIR4422,0
MIR4423,0
MIR4424,0
MIR4427,0
MIR4429,0
MIR4432,0
MIR4434,0
MIR4435-1,0
MIR4436A,0
MIR4436B1,0
MIR4437,0
MIR4439,0
MIR4440,0
MIR4441,0
MIR4442,0
MIR4443,0
MIR4444-1,0
MIR4446,0
MIR4449,0
MIR4450,0
MIR4451,0
MIR4454,0
MIR4456,0
MIR4457,0
MIR4460,0
MIR4462,0
MIR4464,0
MIR4465,0
MIR4466,0
MIR4467,0
MIR4468,0
MIR4469,0
MIR4470,0
MIR4471,0
MIR4472-1,0
MIR4472-2,0
MIR4473,0
MIR4474,0
MIR4475,0
MIR4476,0
MIR4478,0
MIR4479,0
MIR448,0
MIR4480,0
MIR4482-1,0
MIR4483,0
